,Date,Open,High,Low,Close,Volume,balance,percent,total_percent
189,2018-01-29,1108.98,1118.08,1095.75,1099.8,103819310.0,100000000,-0.06542361792607379,47.968046730462355
190,2018-01-30,1087.57,1095.42,1078.98,1093.14,98882850.0,100000000,-0.6055646481178264,47.36248208234453
191,2018-01-31,1097.38,1113.37,1094.77,1101.99,96593720.0,100000000,0.8095943794939265,48.17207646183845
192,2018-02-01,1098.3,1098.3,1076.09,1082.22,79325130.0,100000000,-1.7940271690305702,46.37804929280788
193,2018-02-02,1087.24,1089.16,1075.65,1086.86,62045960.0,100000000,0.42874831365155625,46.80679760645943
194,2018-02-05,1081.7,1081.7,1037.42,1037.42,84652800.0,100000000,-4.548883940893936,42.257913665565496
195,2018-02-06,1013.7,1015.56,969.01,990.04,140718660.0,100000000,-4.567099149813972,37.690814515751526
196,2018-02-07,1034.76,1040.23,1025.3,1034.28,61608300.0,100000000,4.46850632297685,42.15932083872838
197,2018-02-08,1024.13,1031.98,1014.89,1019.5,40964220.0,100000000,-1.4290134199636435,40.73030741876473
198,2018-02-09,983.6,996.37,966.78,996.37,61849040.0,100000000,-2.2687591956841584,38.46154822308057
199,2018-02-12,1001.7,1025.24,1001.7,1025.24,50777860.0,100000000,2.897517990304807,41.359066213385375
200,2018-02-13,1043.44,1055.86,1043.44,1054.93,49613420.0,100000000,2.8959072997542092,44.25497351313958
201,2018-02-21,1064.55,1081.82,1063.73,1076.5,71369330.0,100000000,2.0446854293649754,46.29965894250456
202,2018-02-22,1068.84,1078.48,1063.46,1065.84,81163140.0,100000000,-0.9902461681374902,45.30941277436707
203,2018-02-23,1073.56,1087.26,1068.75,1087.26,77291420.0,100000000,2.009682503940561,47.31909527830763
204,2018-02-26,1101.66,1113.01,1100.33,1100.61,92410510.0,100000000,1.2278571822747006,48.54695246058233
205,2018-02-27,1108.87,1110.11,1094.17,1104.51,72375490.0,100000000,0.3543489519448389,48.90130141252717
206,2018-02-28,1096.3,1113.59,1095.98,1110.33,95487660.0,100000000,0.5269304940652358,49.4282319065924
207,2018-03-01,1106.03,1116.79,1098.51,1105.97,89319260.0,100000000,-0.3926760512640296,49.03555585532837
208,2018-03-02,1095.31,1109.51,1092.18,1108.92,70122050.0,100000000,0.266734179046452,49.30229003437482
209,2018-03-05,1113.71,1116.8,1102.18,1102.61,92467070.0,100000000,-0.5690221116040988,48.73326792277072
210,2018-03-06,1091.98,1102.55,1075.78,1101.93,70759240.0,100000000,-0.061671851334545884,48.67159607143618
211,2018-03-07,1102.85,1106.89,1084.53,1089.61,68096390.0,100000000,-1.1180383508934473,47.55355772054273
212,2018-03-08,1092.29,1109.29,1091.7,1106.49,44469790.0,100000000,1.54917814630924,49.102735866851965
213,2018-03-09,1107.83,1117.9,1102.07,1103.53,62991600.0,100000000,-0.26751258484035434,48.83522328201161
214,2018-03-12,1115.04,1116.38,1104.88,1105.24,70550360.0,100000000,0.1549572734769364,48.99018055548855
215,2018-03-13,1106.97,1111.92,1098.58,1111.54,69507730.0,100000000,0.5700119431073754,49.560192498595924
216,2018-03-14,1112.37,1121.74,1112.03,1114.73,80291500.0,100000000,0.2869892221602511,49.847181720756176
217,2018-03-15,1114.89,1114.89,1105.28,1114.68,66692850.0,100000000,-0.004485391081244294,49.84269632967493
218,2018-03-16,1111.24,1118.28,1110.63,1115.0,77810100.0,100000000,0.028707790576662028,49.87140412025159
219,2018-03-19,1117.13,1134.75,1117.13,1131.1,86881500.0,100000000,1.443946188340799,51.315350308592386
220,2018-03-20,1130.09,1139.15,1126.64,1137.1,65230910.0,100000000,0.5304570771815047,51.84580738577389
221,2018-03-21,1134.79,1148.64,1134.79,1143.08,73091790.0,100000000,0.5258992173071866,52.37170660308107
222,2018-03-22,1147.9,1159.37,1144.44,1150.03,66422240.0,100000000,0.6080064387444488,52.97971304182552
223,2018-03-23,1129.86,1132.19,1113.76,1128.49,91404180.0,100000000,-1.8729946175317134,51.1067184242938
224,2018-03-26,1129.05,1151.24,1123.9,1150.36,64659490.0,100000000,1.9379879307747423,53.04470635506854
225,2018-03-27,1146.94,1162.35,1146.94,1151.89,57679960.0,100000000,0.13300184290137004,53.17770819796991
226,2018-03-28,1150.33,1158.61,1144.71,1153.01,38817110.0,100000000,0.09723150648064406,53.27493970445056
227,2018-03-29,1154.55,1155.42,1141.76,1146.3,36974710.0,100000000,-0.5819550567644718,52.69298464768609
228,2018-03-30,1144.74,1154.59,1136.2,1152.55,55764370.0,100000000,0.5452324871325134,53.238217134818605
229,2018-04-02,1153.11,1174.13,1153.11,1171.05,63846140.0,100000000,1.605136436597111,54.84335357141572
230,2018-04-03,1171.21,1173.18,1156.91,1162.83,77682555.0,100000000,-0.7019341616498038,54.141419409765916
231,2018-04-04,1161.24,1176.22,1161.24,1167.5,77270831.0,100000000,0.4016064257028175,54.54302583546873
232,2018-04-05,1165.75,1175.64,1163.76,1170.76,67137650.0,100000000,0.27922912205567374,54.82225495752441
233,2018-04-06,1169.12,1180.6,1169.12,1173.22,73669180.0,100000000,0.21011992210188565,55.032374879626296
234,2018-04-09,1174.02,1181.58,1169.56,1181.43,80909490.0,100000000,0.6997835018155194,55.73215838144181
235,2018-04-10,1177.68,1185.06,1161.71,1173.18,92942520.0,100000000,-0.6983062898351997,55.03385209160661
236,2018-04-11,1168.41,1172.44,1138.44,1142.59,88576810.0,100000000,-2.6074430181216983,52.42640907348491
237,2018-04-12,1136.76,1142.84,1121.47,1142.29,62251900.0,100000000,-0.02625613737210675,52.400152936112804
238,2018-04-13,1146.67,1153.95,1131.61,1135.57,61699620.0,100000000,-0.5882919398751655,51.81186099623764
239,2018-04-16,1134.21,1136.8,1122.26,1129.7,47451240.0,100000000,-0.5169210176387093,51.29493997859893
240,2018-04-17,1128.03,1135.93,1119.7,1128.5,53379630.0,100000000,-0.10622289103302163,51.18871708756591
241,2018-04-18,1130.32,1136.98,1115.18,1116.19,45653000.0,100000000,-1.0908285334514796,50.097888554114434
242,2018-04-19,1115.7,1115.7,1075.1,1083.05,71319673.0,100000000,-2.969028570404689,47.128859983709745
243,2018-04-20,1066.09,1085.59,1047.71,1085.59,105618648.0,100000000,0.234522875213514,47.36338285892326
244,2018-04-23,1091.18,1098.58,1056.44,1056.44,62713929.0,100000000,-2.685175803019544,44.67820705590371
245,2018-04-24,1055.37,1060.92,1027.74,1052.45,64395550.0,100000000,-0.37768354094884793,44.30052351495486
246,2018-04-26,1055.95,1057.2,1011.51,1019.26,79128835.0,100000000,-3.1535939949641363,41.14692951999073
247,2018-04-27,1018.97,1029.36,1007.39,1024.56,62155540.0,100000000,0.5199850872201356,41.66691460721086
248,2018-05-02,1029.76,1033.2,1009.98,1011.53,59945580.0,100000000,-1.2717654407745738,40.39514916643629
249,2018-05-03,1012.84,1012.84,989.0,1011.19,84957120.0,100000000,-0.0336124484691426,40.36153671796715
250,2018-05-04,1010.35,1023.16,1006.99,1011.1,52369491.0,100000000,-0.008900404473939796,40.35263631349321
251,2018-05-07,1010.99,1046.17,1010.99,1045.74,57387860.0,100000000,3.4259717139748775,43.77860802746808
252,2018-05-08,1047.27,1059.68,1042.59,1053.13,55973277.0,100000000,0.7066766117773157,44.4852846392454
253,2018-05-09,1047.83,1058.09,1037.1,1046.41,47473206.0,100000000,-0.6380978606629786,43.84718677858242
254,2018-05-10,1046.9,1047.5,1009.79,1022.63,59374600.0,100000000,-2.2725317991991747,41.57465497938325
255,2018-05-11,1019.69,1029.73,1003.47,1028.58,58016828.0,100000000,0.5818331165719696,42.15648809595522
256,2018-05-14,1031.18,1048.58,1029.92,1047.27,44490870.0,100000000,1.817068191098413,43.97355628705363
257,2018-05-15,1051.45,1067.61,1051.45,1058.35,50404430.0,100000000,1.0579888662904435,45.03154515334408
258,2018-05-16,1055.31,1055.31,1031.33,1035.14,43322640.0,100000000,-2.193036330136515,42.83850882320756
